"","stop_id","Main_Street_or_Station","Cross_Street","Stop_Lat","Stop_Lon","Routes_Final","Direction_Final"
"22","100045","FAIR ST SW","AGNES JONES PL SW",33.749162,-84.420461,"813","SB/WB"
"23","100046","JOSEPH E LOWERY BLVD","MITCHELL ST SW",33.753318,-84.417466,"1, 68","NB/EB, NB/EB"
"24","100048","JOSEPH E LOWERY BLVD","MARTIN L KING JR DR",33.754524,-84.417346,"1, 68","NB/EB, NB/EB"
"25","100050","MARTIN LUTHER KING J","CHICAMAUGA AVE",33.75369,-84.432088,"3","NB/EB"
"26","100052","MARTIN LUTHER KING J DR SW","CERRO ST",33.753549,-84.429794,"3","NB/EB"
"27","100054","MARTIN LUTHER KING J DR SW","BURBANK",33.753443,-84.428174,"3","NB/EB"
"28","100058","HOLDERNESS ST SW","FAIR ST SW",33.748933,-84.426351,"813","NB/EB"
"29","100060","FAIR ST SW","HOLDERNESS ST SW",33.749076,-84.426353,"813","SB/WB"
"30","100061","HOLDERNESS ST SW","WESTVIEW DR SW",33.747532,-84.426611,"813","NB/EB"
"31","100062","HOLDERNESS ST SW","WESTVIEW DR SW",33.747425,-84.426987,"813","SB/WB"
"32","100063","WESTVIEW DR SW","LANGHORN ST SW",33.747154,-84.427994,"813","NB/EB"
"33","100066","WESTVIEW DR SW","ATWOOD ST SW",33.747192,-84.429146,"813","NB/EB"
"34","100067","WESTVIEW DR SW","HOPKINS ST SW",33.747363,-84.430916,"813","SB/WB"
"35","100069","WESTVIEW DR SW","CHICAMAUGA AVE SW",33.747379,-84.432101,"813","SB/WB"
"36","100070","WESTVIEW DR SW","CHICAMAUGA AVE SW",33.74728,-84.432645,"813","NB/EB"
"37","100074","LUCILE AVE SW","JOSEPH E LOWERY BLVD",33.742268,-84.418137,"58","NB/EB"
"38","100076","LUCILE AVE SW","PEEPLES ST SW",33.742294,-84.420334,"58","NB/EB"
"39","100078","LUCILE AVE SW","LAWTON ST SW",33.742327,-84.422489,"58","NB/EB"
"40","100080","LUCILE AVE SW","LAWTON ST SW",33.742364,-84.423912,"58","NB/EB"
"41","100082","LUCILE AVE SW","DARGAN PL SW",33.742378,-84.425133,"58","NB/EB"
"42","100084","LUCILE AVE SW","HOPKINS ST SW",33.74237,-84.43048,"58","NB/EB"
"43","100086","LUCILE AVE SW","LANGHORN ST SW",33.742336,-84.432297,"58","NB/EB"
"44","100088","LUCILE AVE SW","HOPKINS ST SW",33.742174,-84.430404,"58","SB/WB"
"45","100090","LUCILE AVE SW","ATWOOD ST SW",33.742262,-84.428855,"58","SB/WB"
"46","100092","LUCILE AVE SW","HOLDERNESS ST SW",33.742246,-84.427138,"58","SB/WB"
"47","100094","LUCILE AVE SW","DARGAN PL SW",33.742257,-84.424801,"58","SB/WB"
"48","100096","LUCILE AVE SW","LAWTON ST SW",33.742213,-84.423366,"58","SB/WB"
"49","100098","LUCILE AVE SW","LAWTON ST SW",33.742169,-84.422714,"58","SB/WB"
"50","100100","LUCILE AVE SW","PEEPLES ST SW",33.741464,-84.420484,"58","SB/WB"
"51","100102","LUCILE AVE SW","ATWOOD ST SW",33.742378,-84.428787,"58","NB/EB"
"52","100114","JOSEPH E LOWERY BLVD","SELLS AVE SW",33.745314,-84.41729,"1, 68","NB/EB, NB/EB"
"53","100115","JOSEPH E LOWERY BLVD","WESTVIEW DR SW",33.74634,-84.417334,"1, 68","NB/EB, NB/EB"
"54","100124","MARTIN L KING JR DR NW","CERRO ST SW",33.753645,-84.42959,"3","SB/WB"
"55","100126","MARTIN L KING JR DR NW","BURBANK DR NW",33.753515,-84.428,"3","SB/WB"
"56","100128","MARTIN LUTHER KING J","STAFFORD ST",33.753444,-84.426522,"3","NB/EB"
"57","100130","MARTIN L KING JR DR NW","STAFFORD ST SW",33.753516,-84.426489,"3","SB/WB"
"58","100132","MARTIN L KING JR DR","MORRIS BROWN",33.75384,-84.424968,"3","NB/EB"
"59","100134","MARTIN L KING JR DR NW","MORRIS BROWN DR SW",33.753893,-84.425011,"3","SB/WB"
"60","100136","MARTIN LUTHER KING J","HUNTER PL N",33.754395,-84.423827,"3","NB/EB"
"61","100137","MARTIN LUTHER KING J DR","WHITEHOUSE DR",33.754709,-84.41994,"3","NB/EB"
"62","100138","MARTIN L KING JR DR NW","HUNTER PL NW",33.754431,-84.423892,"3","SB/WB"
"63","100142","MARTIN L KING JR DR NW","BOOKER ST NW",33.754772,-84.420311,"3","SB/WB"
"64","100148","MARTIN L KING JR DR NW","CHICAMAUGA AVE NW",33.753823,-84.431838,"3","SB/WB"
"65","100150","MARTIN L KING JR DR NW","CHAPPELL RD",33.753841,-84.433273,"3","SB/WB"
"66","100152","FAIR ST SW","1ST ST SW",33.748905,-84.425545,"813","NB/EB"
"67","100154","FAIR ST","FIRST ST",33.749077,-84.425298,"813","SB/WB"
"68","100160","FAIR ST SW","LAWTON ST SW",33.748913,-84.423424,"813","NB/EB"
"69","100162","FAIR ST","ABBOTT ST",33.749191,-84.419426,"813","SB/WB"
"70","100164","MARTIN LUTHER KING J DR","OLLIE ST",33.754747,-84.421316,"3","NB/EB"
"71","100166","LUCILE AVE","HOLDERNESS ST",33.742389,-84.426658,"58","NB/EB"
"72","100168","FAIR ST SW","JOSEPH E LOWERY BLVD",33.749074,-84.418167,"813","SB/WB"
"73","100170","WESTVIEW DR SW","WESTVIEW PL",33.74744,-84.434656,"813","SB/WB"
"74","101002","LEE ST SW","W END AV SW",33.744253,-84.414009,"68","SB/WB"
"75","101006","LEE ST SW","NORCROSS ST SW",33.743338,-84.413776,"68","NB/EB"
"76","101008","W END AVE SW","WELLBORN ST SW",33.744547,-84.415271,"68","NB/EB"
"77","101010","PETERS ST SW","HAYNES ST SW",33.749214,-84.399712,"813","SB/WB"
"78","101016","ATLANTA STUDENT MOVEMENT BLVD","WALNUT ST SW",33.749182,-84.406514,"813","SB/WB"
"79","101018","ATLANTA STUDENT MOVEMENT BLVD","VINE ST SW",33.749315,-84.407764,"813","SB/WB"
"80","101020","ATLANTA STUDENT MOVEMENT BLVD","ELM ST SW",33.749358,-84.409504,"813","SB/WB"
"81","101022","ATLANTA STUDENT MOVEMENT BLVD","LAWSHE ST SW",33.749366,-84.411069,"813","SB/WB"
"82","101024","ATLANTA STUDENT MOVEMENT BLVD","JAMES P BRAWLEY DR SW",33.749556,-84.412599,"813","SB/WB"
"83","101026","ATLANTA STUDENT MOVEMENT BLVD","MILTON ST SW",33.749457,-84.414271,"813","SB/WB"
"84","101030","PETERS ST SW","FAIR ST SW",33.748085,-84.401161,"813","SB/WB"
"85","101036","ATLANTA STUDENT MOVEMENT BLVD","WALNUT ST SW",33.74902,-84.406578,"813","NB/EB"
"86","101038","ATLANTA STUDENT MOVEMENT BLVD","VINE ST SW",33.749146,-84.407845,"813","NB/EB"
"87","101040","ATLANTA STUDENT MOVEMENT BLVD","ELM ST SW",33.749191,-84.409325,"813","NB/EB"
"88","101042","ATLANTA STUDENT MOVEMENT BLVD","JOHN HOPE DR SW",33.749192,-84.410651,"813","NB/EB"
"89","101044","ATLANTA STUDENT MOVEMENT BLVD","JAMES P BRAWLEY DR SW",33.749168,-84.413086,"813","NB/EB"
"90","101046","ATLANTA STUDENT MOVEMENT BLVD","MILTON ST SW",33.749146,-84.414597,"813","NB/EB"
"91","101069","MARTIN L KING JR DR","JOSEPH E LOWERY BLVD",33.754678,-84.417739,"3","NB/EB"
"92","101092","WHITEHALL ST SW","SPRING ST SW",33.746006,-84.399132,"40","SB/WB"
"93","101096","WHITEHALL ST SW","TED TURNER DR SW",33.745982,-84.398945,"40","NB/EB"
"94","101098","WHITEHALL ST SW","385",33.7453,-84.400551,"40","SB/WB"
"95","101100","WHITEHALL ST SW","400",33.74522,-84.400499,"40","NB/EB"
"96","101104","WHITEHALL ST SW","WHITEHALL TERR SW",33.744049,-84.403198,"40","SB/WB"
"97","101108","MCDANIEL ST SW","FULTON ST SW",33.741343,-84.402897,"40","SB/WB"
"98","101110","WHITEHALL ST SW","WHITEHALL TER SW",33.744046,-84.402911,"40","NB/EB"
"99","101126","PETERS ST SW","HAYNES ST SW",33.748894,-84.399712,"813","NB/EB"
"100","101133","MARTIN L KING JR DR NW","PASCHAL BLVD SW",33.754779,-84.414293,"3, 68","SB/WB, SB/WB"
"101","101134","MARTIN L KING JR DR NW","GRIFFIN ST NW",33.754736,-84.411695,"3","SB/WB"
"102","101135","NORTHSIDE DR","LARKIN ST",33.748055,-84.405154,"94, 813","SB/WB, NB/EB"
"103","101137","NORTHSIDE DR SW","GREENSFERRY AVE SW",33.746084,-84.406794,"94","SB/WB"
"104","101139","MARTIN L KING JR DR","PASCHAL BLVD SW",33.754609,-84.414402,"3","NB/EB"
"105","101144","MARTIN L KING JR DR","SUNSET AVE",33.754506,-84.410251,"3","NB/EB"
"106","101156","NORTHSIDE DR SW","MITCHELL ST SW",33.753928,-84.402845,"94","SB/WB"
"107","101162","NORTHSIDE DR SW","CHAPEL ST SW",33.750867,-84.403255,"94","SB/WB"
"108","101165","NORTHSIDE DR SW","ATLANTA STUDENT MOVEMENT BLVD SW",33.749396,-84.404349,"94","SB/WB"
"109","101166","NORTHSIDE DR SW","NELSON ST SW",33.750679,-84.403211,"94","NB/EB"
"110","101168","MARTIN L KING JR DR","JAMES P BRAWLEY  DR SW",33.754673,-84.412825,"3","NB/EB"
"111","101446","MARTIN L KING JR DR","GRIFFIN ST",33.754536,-84.411523,"3","NB/EB"
"112","101448","MARTIN L KING JR DR NW","SUNSET AVE NW",33.754738,-84.409923,"3","SB/WB"
"113","101460","MCDANIEL ST","WHITEHALL ST",33.743499,-84.40391,"40","NB/EB"
"114","101464","MARTIN L KING JR DR NW","JAMES P BRAWLEY DR NW",33.754736,-84.41263,"3","SB/WB"
"115","101466","MARTIN L KING JR DR NW","JOSEPH E LOWERY BLVD NW",33.754759,-84.417391,"3","SB/WB"
"116","101468","W END AVE","LEE ST",33.744607,-84.414342,"68","NB/EB"
"117","102004","MARTIN L KING JR DR","FORSYTH ST SW",33.75269,-84.393179,"26, 42","SB/WB, NB/EB"
"118","102005","MEMORIAL DR SE","FRASER ST SE",33.746876,-84.385771,"21","NB/EB"
"119","102006","MEMORIAL DR SE","MARTIN ST SE",33.746841,-84.383934,"21","NB/EB"
"120","102007","MEMORIAL DR SE","CONNALLY ST SE",33.746833,-84.381564,"21","NB/EB"
"121","102009","MEMORIAL DR SE","HILL ST SE",33.74679,-84.379031,"9, 21, 107","SB/WB, NB/EB, NB/EB"
"122","102011","HILL ST SE","WOODWARD AVE SE",33.745662,-84.379324,"9, 186","NB/EB, NB/EB"
"123","102022","PEACHTREE ST SW","MITCHELL ST SW",33.750864,-84.393047,"40","NB/EB"
"124","102026","PRYOR ST SW","MEMORIAL DR SW",33.747202,-84.39437,"42","SB/WB"
"125","102028","PRYOR ST SW","GARNETT ST SW",33.748089,-84.393686,"42","SB/WB"
"126","102030","PRYOR ST SW","TRINITY AVE SW",33.74945,-84.392775,"42","SB/WB"
"127","102032","PRYOR ST","MARTIN L KING JR DR",33.751593,-84.391066,"186","SB/WB"
"128","102042","DECATUR ST SE","PEACHTREE CENTER AVE",33.753105,-84.38757,"186","SB/WB"
"129","102044","DECATUR ST SE","COLLINS ST SE",33.7523,-84.386449,"186","SB/WB"
"130","102046","DECATUR ST","PIEDMONT AVE",33.75143,-84.384945,"186","SB/WB"
"131","102051","JESSE HILL JR DR SE","DECATUR ST SE",33.750645,-84.38423,"107, 813, 899","SB/WB, NB/EB, SB/WB"
"132","102052","PRYOR ST SW","ALICE ST SW",33.742933,-84.39454,"42","SB/WB"
"133","102053","PRYOR ST SW","FULTON ST SW",33.74202,-84.39455,"42","SB/WB"
"134","102054","CENTRAL AVE SW","ALICE ST SW",33.742935,-84.393322,"42","NB/EB"
"135","102056","CENTRAL AVE SW","PULLIAM ST SW",33.747414,-84.392334,"42","NB/EB"
"136","102058","CENTRAL AVE SW","TRINITY AVE SW",33.748339,-84.391504,"42","NB/EB"
"137","102060","CENTRAL AVE SW","MITCHELL ST SW",33.749382,-84.390724,"42","NB/EB"
"138","102062","MARTIN LUTHER KING J DR SW","PRYOR ST",33.75141,-84.39075,"21, 42, 55","SB/WB, NB/EB, NB/EB"
"139","102074","FORSYTH ST SW","TRINITY AVE SW",33.750585,-84.395177,"49, 813","SB/WB, SB/WB"
"140","102078","TRINITY AVE SW","TED TURNER DR SW",33.750513,-84.396264,"49, 813","NB/EB, NB/EB"
"141","102110","WINDSOR ST SW","EUGENIA ST SW",33.743068,-84.398382,"49","SB/WB"
"142","102112","WINDSOR ST SW","FULTON ST SW",33.74199,-84.39838,"49","SB/WB"
"143","102124","AUBURN AVE NE","PIEDMONT AVE NE",33.755507,-84.382255,"3","NB/EB"
"144","102148","MITCHELL ST SW","PRYOR ST SW",33.750292,-84.391905,"21, 42, 55","NB/EB, SB/WB, SB/WB"
"145","102150","CAPITOL SQ SW","CAPITOL PL SW",33.748217,-84.38812,"21, 55","NB/EB, SB/WB"
"146","102152","MARTIN L KING J DR","COURTLAND ST",33.750043,-84.388393,"21, 55, 813","SB/WB, NB/EB, SB/WB"
"147","102156","MARTIN L KING JR DR","PEACHTREE ST",33.751939,-84.39183,"21, 42, 55, 186","SB/WB, NB/EB, NB/EB, SB/WB"
"148","102170","DECATUR ST SE","PIEDMONT AVE SE",33.75154,-84.385666,"186, 813","NB/EB, NB/EB"
"149","102172","DECATUR ST SE","BELL ST SE",33.749797,-84.380316,"186","SB/WB"
"150","102173","DECATUR ST SE","JESSE HILL JR DR SE",33.7506,-84.384285,"186","NB/EB"
"151","102174","DECATUR ST SE","PRATT ST SE",33.749894,-84.382914,"186","SB/WB"
"152","102178","EDGEWOOD AVE SE","COURTLAND ST SE",33.754539,-84.38419,"3","SB/WB"
"153","102180","EDGEWOOD AVE","PEACHTREE CENTER AVE",33.754513,-84.386169,"3, 816","SB/WB, SB/WB"
"154","102222","WINDSOR ST SW","EUGENIA ST SW",33.743098,-84.398064,"49","NB/EB"
"155","102224","WINDSOR ST SW","FULTON ST SW",33.74169,-84.39812,"49","NB/EB"
"156","102226","MARIETTA ST NW","BROAD ST (FIVE POINTS STATION)",33.754992,-84.390659,"186","NB/EB"
"157","102228","DECATUR ST","KIMBALL WAY",33.753597,-84.388581,"186, 813","NB/EB, NB/EB"
"158","102248","ALABAMA ST","PEACHTREE ST (FIVE POINTS STATION)",33.753183,-84.391353,"42, 42, 49, 49","NB/EB, SB/WB, NB/EB, SB/WB"
"159","102252","HANK AARON DR SE","FULTON ST SE",33.7416,-84.387733,"55","NB/EB"
"160","102253","CAPITOL AVE","MEMORIAL DR",33.746314,-84.387667,"55","NB/EB"
"161","102258","ALABAMA ST","BROAD ST (FIVE POINTS STATION)",33.753505,-84.391973,"26, 26, 816, 816","NB/EB, SB/WB, NB/EB, SB/WB"
"162","102262","MITCHELL ST SW","CENTRAL AVE SW",33.74963,-84.390687,"21, 55","NB/EB, SB/WB"
"163","102274","ALABAMA ST","FORSYTH ST (FIVE POINTS STATION)",33.753809,-84.392419,"21, 21, 55, 55","NB/EB, SB/WB, SB/WB, NB/EB"
"164","102282","DECATUR ST SE","COLLINS ST SE",33.752282,-84.386602,"186, 813","NB/EB, NB/EB"
"165","102289","FORSYTH ST","ALABAMA ST (FIVE POINTS STATION)",33.754015,-84.392419,"813","NB/EB"
"166","102292","FORSYTH ST","ALABAMA ST (FIVE POINTS STATION)",33.753944,-84.392626,"3","SB/WB"
"167","102294","FORSYTH ST","MARTIN L KING JR DR",33.752547,-84.393592,"49, 813","NB/EB, NB/EB"
"168","102296","FORSYTH ST SW","MITCHELL ST SW",33.751571,-84.394319,"49, 813","NB/EB, NB/EB"
"169","102298","AUBURN AVE","EQUITABLE PL NE",33.755584,-84.387626,"3, 816","NB/EB, NB/EB"
"170","102308","PEACHTREE ST","DECATUR ST",33.75425,-84.389767,"3, 40, 816","NB/EB, NB/EB, NB/EB"
"171","102310","PEACHTREE ST NE","EDGEWOOD AVE SE",33.754599,-84.389636,"40","SB/WB"
"172","102316","JESSE HILL JR DR SE","COCA COLA PL",33.75352,-84.381276,"107, 813, 899","SB/WB, NB/EB, SB/WB"
"173","102512","JESSE HILL JR DR SE","GILMER ST",33.751577,-84.383296,"107, 813, 899","SB/WB, NB/EB, SB/WB"
"174","102518","JESSE HILL JR DR SE","ARMSTRONG ST",33.752997,-84.381904,"107, 813, 899","SB/WB, NB/EB, SB/WB"
"175","102526","BELL ST SE","PRATT ST SE",33.752715,-84.379623,"899","SB/WB"
"176","102530","DECATUR ST","263",33.749743,-84.381088,"186","NB/EB"
"177","102532","TED TURNER DR","CASTLEBERRY ST",33.747384,-84.397702,"49","NB/EB"
"178","102534","MITCHELL ST","PEACHTREE ST",33.750915,-84.393191,"21, 55","NB/EB, SB/WB"
"179","102540","WALL ST","PRYOR ST",33.753229,-84.389211,"813","SB/WB"
"180","102544","PRYOR ST","RAWSON ST",33.744606,-84.39452,"42","SB/WB"
"181","102546","CENTRAL AVE","PULLIAM ST",33.743984,-84.393218,"42","NB/EB"
"182","102554","TED TURNER DR SW","BROTHERTON ST SW",33.749164,-84.398123,"49","SB/WB"
"183","102558","AUBURN AVE","COURTLAND ST",33.755524,-84.384017,"3","NB/EB"
"184","103022","MEMORIAL DR SE","CONNALLY ST SE",33.746896,-84.381347,"21, 107","SB/WB, SB/WB"
"185","103024","MEMORIAL DR SE","MARTIN ST SE",33.74694,-84.383749,"21, 107","SB/WB, SB/WB"
"186","103026","MEMORIAL DR SE","FRASER ST SE",33.746965,-84.386347,"21, 107","SB/WB, SB/WB"
"187","103032","JACKSON ST SE","LUCY ST",33.752351,-84.374122,"899","SB/WB"
"188","103034","JACKSON ST SE","DECATUR ST SE",33.750722,-84.373631,"899","SB/WB"
"189","103052","AUBURN AVE NE","JESSE HILL JR DR NE",33.755472,-84.379962,"3","NB/EB"
"190","103060","BOULEVARD NE","OLD WHEAT ST NE",33.755851,-84.37208,"809","NB/EB"
"191","103083","HILL ST SE","WOODWARD AVE SE",33.745528,-84.379248,"9, 186","SB/WB, SB/WB"
"192","103090","MEMORIAL DR SE","POWELL ST SE",33.746697,-84.365607,"21, 107","SB/WB, SB/WB"
"193","103092","MEMORIAL DR SE","BEREAN AVE SE",33.746697,-84.366531,"21, 107","SB/WB, SB/WB"
"194","103094","MEMORIAL DR SE","CAMERON ST SE",33.746625,-84.365226,"21, 107","NB/EB, NB/EB"
"195","103095","MEMORIAL DR SE","BOULEVARD SE",33.746812,-84.36802,"21, 107","SB/WB, SB/WB"
"196","103097","MEMORIAL DR SE","BEREAN AVE SE",33.7466,-84.366961,"21, 107","NB/EB, NB/EB"
"197","103098","MEMORIAL DR SE","BOULEVARD  SE",33.746669,-84.368139,"21, 107","NB/EB, NB/EB"
"198","103100","MEMORIAL DR SE","PARK AVE SE",33.746686,-84.369716,"21, 107","NB/EB, NB/EB"
"199","103104","MEMORIAL DR SE","WOOD ST SE",33.74673,-84.372531,"21, 107","NB/EB, NB/EB"
"200","103108","DECATUR ST SE","HILL ST",33.749681,-84.37974,"186","NB/EB"
"201","103130","MARIETTA ST NW","FAIRLIE ST NW",33.755725,-84.391431,"26","NB/EB"
"202","103134","MARIETTA ST NW","PEACHTREE ST",33.754393,-84.390071,"186, 813","NB/EB, NB/EB"
"203","103138","DECATUR ST SE","CENTRAL AVE SW",33.75306,-84.3877,"186, 813","NB/EB, NB/EB"
"204","103162","AUBURN AVE NE","HILLIARD ST NE",33.755447,-84.376613,"3","NB/EB"
"205","103168","MEMORIAL DR","PARK AVE",33.746758,-84.37002,"21, 107","SB/WB, SB/WB"
"206","103169","MEMORIAL DR SE","HILL ST SE",33.746888,-84.379162,"21, 107","SB/WB, SB/WB"
"207","103170","MEMORIAL DR","GEORGE ST",33.746836,-84.375825,"21, 107","SB/WB, SB/WB"
"208","103190","JACKSON ST SE","TODD ST SE",33.751438,-84.373643,"899","NB/EB"
"209","103191","JACKSON ST SE","GARTRELL ST SE",33.752798,-84.374187,"899","NB/EB"
"210","103193","JACKSON ST SE","CHAMBERLAIN ST SE",33.753756,-84.374264,"899","NB/EB"
"211","103196","AUBURN AVE","WILLIAM H BORDERS SR DR",33.755465,-84.375167,"3","NB/EB"
"212","103198","MEMORIAL DR","GRANT ST SE",33.746729,-84.375944,"21, 107","NB/EB, NB/EB"
"213","103200","GRANT ST","MEMORIAL DR",33.747015,-84.376695,"9","NB/EB"
"214","103202","MEMORIAL DR","CHEROKEE AVE",33.746719,-84.373539,"21, 107","NB/EB, NB/EB"
"215","103900","KING MEMORIAL STATION",NA,33.749978,-84.375881,"9, 9, 809, 809, 899, 899","SB/WB, NB/EB, NB/EB, SB/WB, NB/EB, SB/WB"
"216","104012","MORELAND AVE SE","SANDERS AVE SE",33.741948,-84.349267,"4, 32, 74","SB/WB, SB/WB, NB/EB"
"217","104013","MORELAND AVE SE","GLENWOOD AVE",33.740623,-84.349403,"4","SB/WB"
"218","104048","MEMORIAL DR SE","MORELAND AVE SE",33.747641,-84.348541,"21","SB/WB"
"219","104050","MEMORIAL DR SE","MORELAND AVE SE",33.74757,-84.348269,"21","NB/EB"
"220","104052","MEMORIAL DR SE","FLAT SHOALS AVE SE",33.747425,-84.350372,"21","SB/WB"
"221","104054","MEMORIAL DR SE","HOWELL DR SE",33.747238,-84.350682,"21","NB/EB"
"222","104056","MEMORIAL DR SE","WILBUR AVE SE",33.747028,-84.352554,"21","SB/WB"
"223","104058","MEMORIAL DR SE","WILBUR AVE SE",33.746651,-84.353043,"21","NB/EB"
"224","104060","MEMORIAL DR SE","STOVALL ST SE",33.746696,-84.354233,"21","SB/WB"
"225","104062","MEMORIAL DR SE","STOVALL ST SE",33.746346,-84.354568,"21","NB/EB"
"226","104064","MEMORIAL DR SE","GIBSON ST SE",33.746467,-84.355378,"21","NB/EB"
"227","104066","MEMORIAL DR SE","HOLTZCLAW ST SE",33.746719,-84.356575,"21","SB/WB"
"228","104068","MEMORIAL DR SE","CHESTER AVE SE",33.746627,-84.359052,"21, 107","SB/WB, SB/WB"
"229","104070","MEMORIAL DR SE","BILL KENNEDY WAY",33.746556,-84.358497,"21, 107","NB/EB, NB/EB"
"230","104076","MEMORIAL DR SE","PEARL ST SE",33.746653,-84.362193,"21, 107","SB/WB, SB/WB"
"231","104078","MEMORIAL DR SE","PEARL ST SE",33.746597,-84.361623,"21, 107","NB/EB, NB/EB"
"232","104436","MEMORIAL DR SE","VENICE DR",33.747217,-84.286047,"21, 823","SB/WB, NB/EB"
"233","105002","FLAT SHOALS AVE SE","MAY AVE SE",33.739058,-84.344049,"32, 74","SB/WB, NB/EB"
"234","105004","FLAT SHOALS AVE SE","MILTON PL SE",33.736149,-84.341777,"32, 74","SB/WB, NB/EB"
"235","105006","FLAT SHOALS AVE SE","ORMEWOOD AVE SE",33.734136,-84.340494,"32, 74","SB/WB, NB/EB"
"236","105016","FLAT SHOALS RD SE","LEAH LN SE",33.729303,-84.328669,"74","NB/EB"
"237","105018","FLAT SHOALS RD SE","1909",33.727647,-84.325332,"74","NB/EB"
"238","105038","GLENWOOD AVE SE","MAYNARD TER SE",33.739963,-84.334886,"107","NB/EB"
"239","105040","GLENWOOD AVE SE","CLIFTON ST SE",33.739919,-84.33231,"107","NB/EB"
"240","105042","GLENWOOD AVE SE","WINTHROP DR SE",33.739874,-84.330647,"107","NB/EB"
"241","105043","GLENWOOD AVE SE","WINTHROP DR SE",33.739754,-84.329835,"107","NB/EB"
"242","105044","GLENWOOD AVE SE","HOWARD ST SE",33.73968,-84.3264,"107","NB/EB"
"243","105074","GLENWOOD AVE SE","WINTHROP DR SE",33.739928,-84.330071,"107","SB/WB"
"244","105075","GLENWOOD AVE SE","CLIFTON ST SE",33.73999,-84.33256,"107","SB/WB"
"245","105076","GLENWOOD AVE SE","MAYNARD TER SE",33.740035,-84.334778,"107","SB/WB"
"246","105094","FLAT SHOALS RD SE","1930",33.72776,-84.325432,"74","SB/WB"
"247","105096","FLAT SHOALS RD SE","HILLBURN DR SE",33.728766,-84.326887,"74","SB/WB"
"248","105098","FLAT SHOALS RD SE","LEAH LN SE",33.729249,-84.32831,"74","SB/WB"
"249","105107","FLAT SHOALS RD SE","HILLBURN DR SE",33.728712,-84.327234,"74","NB/EB"
"250","105118","FLAT SHOALS AVE SE","EAST SIDE AVE",33.733804,-84.339994,"32, 74","NB/EB, SB/WB"
"251","105120","FLAT SHOALS AVE SE","VAN EPPS AVE SE",33.736749,-84.342005,"32, 74","NB/EB, SB/WB"
"252","105122","FLAT SHOALS AVE SE","NEWTON AVE SE",33.737617,-84.342476,"32, 74","NB/EB, SB/WB"
"253","105124","BOULDERCREST DR SE","PIPER CIR SE",33.72686,-84.33315,"32","NB/EB"
"254","105126","BOULDERCREST DR SE","STALLINGS AVE SE",33.727843,-84.333635,"32","NB/EB"
"255","105130","BOULDERCREST DR SE","FLAT SHOALS RD SE",33.730708,-84.336396,"32","NB/EB"
"256","105152","FLAT SHOALS AVE SE","NEWTON AVE SE",33.738065,-84.342842,"32, 74","SB/WB, NB/EB"
"257","105158","FLAT SHOALS AVE SE","CAVANAUGH AVE SE",33.731236,-84.337211,"32, 74","SB/WB, NB/EB"
